"zip","area_name","LA_city","lon","lat"
"91023","Mount Wilson",FALSE,-118.0676991,34.2276262
"91024","Sierra Madre",FALSE,-118.0478826,34.1934312
"91025","Sierra Madre",FALSE,-118.05,34.1599999
"91030","South Pasadena",FALSE,-118.153228,34.1058277
"91031","South Pasadena",FALSE,-118.15,34.12
"91040","Shadow Hills/Sunland",TRUE,-118.3111262,34.2864053
"91041","Sunland",TRUE,-118.3,34.27
"91042","Tujunga",TRUE,-118.2292712,34.296676
"91043","Tujunga",TRUE,-118.2899871,34.2499923
"91046","Glendale (Verdugo City)",FALSE,-118.240734,34.211442
"91066","Arcadia",FALSE,-118.03,34.14
"91077","Arcadia",FALSE,-118.05,34.13
"91101","Pasadena",FALSE,-118.1386005,34.1427587
"91102","Pasadena",FALSE,-118.1419472,34.1485194
"91103","Pasadena",FALSE,-118.153228,34.1672881
"91104","Pasadena",FALSE,-118.1181199,34.1657707
"91105","Pasadena",FALSE,-118.1678543,34.1406082
"91106","Pasadena",FALSE,-118.1268976,34.1456654
"91107","Pasadena",FALSE,-118.0830047,34.1642396
"91108","San Marino",FALSE,-118.1181199,34.1247921
"91109","Pasadena",FALSE,-118.1528623,34.1561783
"91114","Pasadena",FALSE,-118.13,34.17
"91115","Pasadena",FALSE,-118.15,34.14
"91116","Pasadena",FALSE,-118.1296057,34.1500196
"91117","Pasadena",FALSE,-118.099449,34.149491
"91118","San Marino",FALSE,-118.11,34.12
"91125","Pasadena (California Institute of Technology)",FALSE,-118.1247032,34.1378866
"91125","Pasadena (California Institute of Technology)",FALSE,-118.1247032,34.1378866
"91126","Pasadena (California Institute of Technology)",FALSE,-118.1242089,34.1359544
"91126","Pasadena (California Institute of Technology)",FALSE,-118.1242089,34.1359544
"91201","Glendale",FALSE,-118.2935891,34.1629905
"91202","Glendale",FALSE,-118.2702036,34.1688371
"91203","Glendale",FALSE,-118.2614332,34.1531191
"91204","Glendale (Tropico)",FALSE,-118.2614332,34.1377656
"91205","Glendale (Tropico)",FALSE,-118.2468148,34.1337367
"91206","Glendale",FALSE,-118.2117257,34.1527251
"91207","Glendale",FALSE,-118.2702036,34.1893001
"91208","Glendale",FALSE,-118.2351192,34.1980641
"91209","Glendale",FALSE,-118.2518395,34.1464871
"91210","Galleria (Glendale)",FALSE,-118.2563169,34.144801
"91214","La Crescenta",FALSE,-118.2351192,34.2389818
"91221","Glendale",FALSE,-118.29,34.1599999
"91222","Glendale",FALSE,-118.26,34.1599999
"91224","Glendale",FALSE,-118.25,34.2299999
"91225","Glendale",FALSE,-118.25,34.14
"91226","Glendale",FALSE,-118.2499954,34.1399918
"91301","Agoura/Oak Park",FALSE,-118.754782,34.1129907
"91302","Calabasas/Hidden Hills",FALSE,-118.6848112,34.1307949
"91303","Canoga Park",TRUE,-118.597305,34.1989453
"91304","Canoga Park",TRUE,-118.6556478,34.2249609
"91305","Canoga Park",TRUE,-118.599807,34.1998644
"91306","Winnetka",TRUE,-118.5739621,34.2048586
"91307","West Hills",TRUE,-118.6848112,34.2124444
"91308","West Hills",FALSE,-118.64,34.2
"91309","Canoga Park",FALSE,-118.6,34.22
"91310","Castaic",FALSE,-118.62,34.49
"91311","Chatsworth",TRUE,-118.61481,34.2710376
"91313","Chatsworth",FALSE,-118.6,34.26
"91316","Encino",TRUE,-118.5155901,34.1583323
"91321","Santa Clarita (Newhall)",FALSE,-118.4747173,34.3677169
"91322","Newhall",FALSE,-118.5473013,34.3792628
"91324","Northridge",TRUE,-118.5506158,34.2413938
"91325","Northridge",TRUE,-118.5155901,34.2400436
"91326","Porter Ranch",TRUE,-118.5622893,34.2894584
"91327","Northridge",FALSE,-118.54,34.27
"91328","Northridge",FALSE,-118.54,34.24
"91330","Northridge, California State University",TRUE,-118.5258067,34.2489458
"91330","Northridge, California State University",TRUE,-118.5258067,34.2489458
"91331","Arleta/Pacoima",TRUE,-118.4279933,34.2570374
"91331","Arleta/Pacoima",TRUE,-118.4279933,34.2570374
"91333","Pacoima",FALSE,-118.43,34.26
"91334","Pacoima",FALSE,-118.42,34.26
"91335","Reseda",TRUE,-118.5389414,34.2035088
